"created_at","field1","field2","field3","field4","OD"
"2022/09/15 20:30","10","88","11","6.89","10.92"
"2022/09/16 12:31","9","88","7","6.89","8.5"
"2022/09/16 19:31","9","88","7","7.89","8.5"
"2022/09/17 10:26","17","92","5","6.79","8.2"
"2022/09/17 11:26","17","92","7","6.79","14.5"
"2022/09/17 20:26","10","88","16","6.19","13.1"
"2022/09/18 9:27","5","88","10","7.89","10.3"
"2022/09/18 11:27","18","57","11","6.79","14.59"
"2022/09/18 23:27","5","88","15","6.78","14.1"
"2022/09/19 8:28","5","88","10","6.39","14.1"
"2022/09/19 22:28","8","88","13","6.69","13.9"
"2022/09/20 8:29","2","87","8","6.79","11.7"
"2022/09/20 22:29","7","88","15","6.69","11.5"
"2022/09/21 10:29","8","88","9","6.2","10.2"
"2022/09/21 12:29","28","44","11","7.69","12.6"
"2022/09/21 22:30","8","88","14","6.79","11.8"
"2022/09/22 7:30","7","88","11","6.69","11.4"
"2022/09/22 22:06","10","88","10","7.02","9.42"
"2022/09/24 0:04","5","88","16","6.1","12.7"
"2022/09/24 8:05","3","87","10","7.2","10.2"
"2022/09/24 20:36","9","88","17","6.32","9.3"
"2022/09/24 21:36","8","88","17","6.72","12.7"
"2022/09/25 10:36","18","93","10","6.12","9.48"
"2022/09/25 22:36","10","88","10","6.13","8.3"
"2022/09/25 23:36","10","88","20","6.34","11.59"
"2022/09/26 10:36","12","90","10","5.18","9.92"
"2022/09/26 20:36","10","88","10","6.43","9.27"
"2022/09/27 10:36","10","88","10","5.95","8.55"
"2022/09/27 11:36","36","26","10","5.13","12.43"
"2022/09/27 23:01","8","88","21","6.19","11.11"
"2022/09/28 10:12","13","91","14","6.88","8.44"
"2022/09/28 11:12","13","91","16","6","12.67"
"2022/09/28 22:12","10","88","25","6.78","10.06"
"2022/09/29 11:13","14","91","15","6.29","7.74"
"2022/09/29 21:13","13","91","22","6.09","6.11"
"2022/09/30 11:13","14","91","14","6.48","4.31"
"2022/09/30 12:13","13","91","15","6.19","8.35"
"2022/09/30 22:13","9","88","14","6.09","5.59"
"2022/10/01 10:14","16","92","12","6.28","5.16"
"2022/10/01 10:32","19","93","13","6.91","7.37"
"2022/10/01 22:33","9","88","20","6.68","6.78"
"2022/10/02 12:29","29","32","19","6.85","4.72"
"2022/10/02 13:29","23","40","18","6.78","8.25"
"2022/10/02 22:05","14","91","19","5.17","7.59"
"2022/10/03 10:05","16","92","15","5.87","3.37"
"2022/10/03 23:06","11","89","14","6.22","3.2"
